Sample 	 Analysis-ready reads 	 Total mapped reads 	 Total Q30 mapped reads 	  Total after removing PCR duplicates 	 Total unique reads  	 S.mitis 	 S.oralis 	 S.parasanguinis 	 S.infantis 	 S.australis 	 S.perorsis 	 S.massiliensis 	 S.sanguinis 	 S.gordonii 	 S.cristatus 	 S.mutans 	 S.sobrinus 	 S.troglodytae 	 S.downei 	 S.criceti 	 S.intermedius 	 S.constellatus 	 S.anginosus 	 S.salivarius 	 S.vestibularis 	 S.acidominimus 	 S.spDD04 	 S.pluranimalium 	 S.pseudopneumoniae 
19783_ModernCalculus_PerioDisease_17_kneaddata 	827074	64575	44070	41375	41375	169	1002	25	90	174	7	119	36726	1175	790	9	1	2	1	1	80	66	9	6	40	4	824	17	38
19784_ModernCalculus_PerioDisease_18_kneaddata 	19940	11	8	7	7	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0
19785_ModernCalculus_PerioDisease_19_kneaddata 	934968	68408	49552	46300	46300	186	2339	53	1348	645	89	132	36803	1886	812	3	1	0	4	3	216	186	10	13	59	1	1350	27	134
19786_ModernCalculus_PerioDisease_20_kneaddata 	544425	36323	25433	23927	23927	106	1409	14	79	119	16	68	19546	1304	443	0	2	2	3	3	72	25	1	2	19	2	622	19	51
19787_ModernCalculus_PerioDisease_21_kneaddata 	562260	773	544	514	514	1	8	0	0	1	1	29	359	16	14	0	1	0	1	0	2	61	0	0	0	0	18	0	2
19788_ModernCalculus_PerioDisease_22_kneaddata 	459807	385	248	234	234	1	0	1	0	0	0	35	6	0	1	1	1	0	1	0	5	105	66	1	0	0	10	0	0
19789_ModernCalculus_PerioDisease_23_kneaddata 	693123	680	454	431	431	3	1	0	0	0	0	90	17	0	1	1	1	0	0	0	21	263	19	1	0	0	12	0	1
19790_ModernCalculus_PerioDisease_24_kneaddata 	871478	479	312	278	278	5	8	2	0	4	0	33	19	2	36	0	0	1	1	0	2	91	61	2	0	0	11	0	0
19791_ModernCalculus_PerioDisease_25_kneaddata 	521033	15007	10072	9527	9527	37	481	5	17	31	5	59	3392	738	248	1	1	0	1	1	26	104	11	0	0	0	4262	3	104
19792_ModernCalculus_PerioDisease_26_kneaddata 	933977	59236	41271	38650	38650	92	2006	34	71	159	11	120	32291	1230	588	0	1	0	2	3	279	897	69	8	6	5	711	9	58
19793_ModernCalculus_PerioDisease_27_kneaddata 	459335	35959	25127	23654	23654	123	2051	18	52	16	13	76	14828	5348	592	1	0	1	1	1	46	57	7	4	8	0	346	4	61
19794_ModernCalculus_PerioDisease_28_kneaddata 	468098	28351	20756	19533	19533	83	1585	7	35	15	12	142	15728	986	303	0	0	1	3	1	52	127	71	1	8	0	324	8	41
19795_ModernCalculus_PerioDisease_29_kneaddata 	533622	46589	33144	31251	31251	221	6002	13	123	84	13	66	22624	788	502	0	0	1	9	1	81	41	2	10	19	2	534	7	108
19796_ModernCalculus_PerioDisease_30_kneaddata 	563683	43027	30548	28807	28807	166	5607	6	92	45	20	41	20943	723	417	2	1	1	3	1	86	30	1	3	14	0	497	7	101
19797_ModernCalculus_PerioDisease_31_kneaddata 	408738	7782	4945	4636	4636	67	946	28	24	8	10	19	807	1640	694	2	0	0	3	2	12	32	158	10	22	1	91	0	60
19798_ModernCalculus_PerioDisease_32_kneaddata 	86552	2067	1432	1250	1250	18	22	3	3	12	0	9	964	69	30	1	1	0	0	0	7	33	24	0	5	0	37	0	12
19799_ModernCalculus_PerioDisease_33_kneaddata 	537553	12255	8323	7817	7817	9	186	4	38	9	5	44	6522	259	167	1	2	0	1	1	12	44	7	2	7	1	474	5	17
19800_ModernCalculus_PerioDisease_34_kneaddata 	311903	15292	10740	10114	10114	79	478	8	19	7	5	35	5582	3327	139	3	1	0	1	1	28	31	19	2	6	1	297	1	44
19801_ModernCalculus_PerioDisease_35_kneaddata 	551503	28611	20946	19735	19735	97	1425	7	33	21	6	82	16763	560	314	2	1	0	1	1	36	46	9	2	2	2	282	15	28
19802_ModernCalculus_PerioDisease_36_kneaddata 	345396	2226	1509	1428	1428	14	229	4	9	2	0	33	419	133	18	1	1	0	0	0	74	394	58	0	2	0	31	0	6
19804_EBC1_B1ModernCalculus_PerioDisease_kneaddata 	113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19805_EBC2_B1ModernCalculus_PerioDisease_kneaddata 	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19834_EBC1_B2ModernCalculus_PerioDisease_kneaddata 	7947	6	4	3	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
19835_EBC2_B2ModernCalculus_PerioDisease_kneaddata 	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19837_EBC1_B3ModernCalculus_PerioDisease_kneaddata 	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19838_EBC2_B3ModernCalculus_PerioDisease_kneaddata 	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
