Sample 	 Whole Genome Coverage 	 Relative Abundance 	 Date Range 	 Early Date 	 Late Date 	 Date
16937_Medieval_StMaryGraces_MIN86 	0.605407349	0.836	 1400-1538 	1400	1538	 Norman Britain and the Middle Ages
16942_Medieval_StMaryGraces_MIN86 	0.691126752	0.639	 1400-1538 	1400	1538	 Norman Britain and the Middle Ages
16955_Medieval_GuildhallYard_GYE92 	0.767416889	0.791	 1140-1230 	1140	1230	 Norman Britain and the Middle Ages
18502_Pictish3 	0.627498526	0.809	 402-535 	402	535	 Roman Britain
BreedonOnTheHill12857 	0.813540375	0.881	-676	-676	-676	 Pre-Roman Britian
BreedonOnTheHill12861 	0.659244449	0.542	-676	-676	-676	 Pre-Roman Britian
Hinxton16489 	0.828922144	0.789	 200BCE-0 	-170	-80	 Pre-Roman Britian
IsleOfPamona15920 	0.643418539	0.611	 U 	-43	 U 	 Pre-Roman Britian
Linton16499 	0.53566251	0.869	 690-900 	690	900	 Anglo-Saxon or Early Medieval Britain
Oakington15810 	0.771840125	0.807	 450-600 	450	600	 Anglo-Saxon or Early Medieval Britain
Oakington16500 	0.767261871	0.808	 450-600 	450	600	 Anglo-Saxon or Early Medieval Britain
Raunds8338 	0.655151706	0.577	 950-1150 	950	1150	 Anglo-Saxon or Early Medieval Britain
Raunds8346 	0.74010193	0.516	 950-1150 	950	1150	 Anglo-Saxon or Early Medieval Britain
Raunds8347 	0.634440233	0.833	 950-1150 	950	1150	 Anglo-Saxon or Early Medieval Britain
StBrides12850 	0.638746638	0.75	 1600-1700 	1600	1700	 Reformation
StBrides12866 	0.557092247	0.71	 1600-1700 	1600	1700	 Reformation
StBrides12867 	0.741357983	0.535	 1600-1700 	1600	1700	 Reformation
StHelensOnWalls8873 	0.664189109	0.329	 1100-1550 	1100	1550	 Norman Britain and the Middle Ages
StHelensOnWalls8875 	0.781702623	0.417	 1100-1550 	1100	1550	 Norman Britain and the Middle Ages
StNiniansIsle15928 	0.643336256	0.657	 U 	1180	11800	 Norman Britain and the Middle Ages
StNiniansIsle15929 	0.552799026	0.719	 U 	 U 	 U 	 U
Yorkshire8892 	0.759937847	0.782	 2100-800 	-2100	-800	 Pre-Roman Britian
Yorkshire8893 	0.728051453	0.299	 2100-800 	-2100	-800	 Pre-Roman Britian
Yorkshire8895 	0.805014395	0.541	 2100-800 	-2100	-800	 Pre-Roman Britian
