Genomic Island	16811_Medieval_SpitalSquare_NRF88	16813_Medieval_SpitalSquare_NRF88	16814_Medieval_SpitalSquare_NRF88	16818_Medieval_SpitalSquare_NRF88	16821_Medieval_SpitalSquare_NRF88	16825_Medieval_SpitalSquare_NRF88	16828_Medieval_SpitalSquare_SSQ88	16829_Medieval_SpitalSquare.SSQ88	16830_Medieval_SpitalSquare.SSQ88	16839_Medieval_MertonPriory_MPY86	16847_Medieval_MertonPriory_MPY86	16850_Medieval_MertonPriory_MPY86	16853_Medieval_MertonPriory_MPY86	16860_Medieval_MertonPriory_MPY86	16862_Medieval_MertonPriory_MPY86	16873_Medieval_MertonPriory_MPY86	16881_Medieval_MertonPriory_MPY86	16886_Medieval_MertonPriory_MPY86	16887_Medieval_MertonPriory_MPY86	16897_PostMedieval_CrossBones_REW92	16901_PostMedieval_CrossBones_REW92	16906_PostMedieval_StBenetSherehog_ONE94	16913_Medieval_StBenetSherehog_ONE94	16914_Medieval_StBenetSherehog_ONE94	16916_Medieval_StBenetSherehog_ONE94	16918_Medieval_StBenetSherehog_ONE94	16936_Medieval_MertonPriory_MPY86	16937_Medieval_StMaryGraces_MIN86	16942_Medieval_StMaryGraces_MIN86	16955_Medieval_GuildhallYard_GYE92	18502_Pictish3	BreedonOnTheHill12857	BreedonOnTheHill12861	Hinxton16489	IsleOfPamona15920	Linton16499	Oakington15810	Oakington16500	Raunds8338	Raunds8346	Raunds8347	StBrides12850	StBrides12866	StBrides12867	StHelensOnWalls8873	StHelensOnWalls8875	StNiniansIsle15928	StNiniansIsle15929	Yorkshire8892	Yorkshire8893	Yorkshire8895
GI-19	0.8076099	0.8633857	0.8011392	0.8234677	0.7684211	0.7845523	0.8233766	0.8326726	0.827979	0.8621098	0.7377079	0.8193666	0.72144	0.7060378	0.7925268	0.8287081	0.710139	0.8124402	0.8577808	0.7977216	0.7537025	0.8345409	0.7463204	0.8328549	0.7151515	0.7406698	0.8106174	0.7787195	0.807291	0.8606972	0.7981317	0.8700843	0.7859649	0.8768284	0.7685122	0.7317384	0.8603782	0.8524493	0.8342219	0.8320346	0.7750285	0.7363409	0.6860332	0.7961723	0.8039644	0.858191	0.7924812	0.7599453	0.8694919	0.8165869	0.8624744
GI-1-	0.1262903	0.0635484	0.0496774	0.0132258	0.3195161	0.1719355	0.5616129	0.1870968	0.428871	0.2159677	0.1535484	0.42	0.0227419	0.0593548	0.278871	0.0169355	0.3619355	0.0743548	0.1975807	0.0380645	0	0	0.1498387	0.2574193	0.0930645	0.2024194	0	0.0127419	0	0.0170968	0	0.0112903	0.036129	0.3174194	0.2122581	0	0.1053226	0.1208064	0	0.006129	0	0.0108065	0	0.1306452	0.3885484	0.028871	0	0	0.1346774	0	0.1145161
GI-20	0.0579297	0.042735	0	0	0	0	0	0	0.0163026	0	0	0	0	0	0	0.012504	0	0.0072808	0.0232669	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.16176	0.011396	0	0.0601456	0	0	0	0	0.0083887	0.0707502	0	0	0	0.0527066	0.0384615
GI-21-1	0.4563206	0.4997233	0.3941814	0.5272353	0.473318	0.3770258	0.3573405	0.49245	0.5674757	0.5070757	0.4834374	0.4505495	0.3241363	0.4095976	0.4084117	0.4809866	0.3219227	0.4420112	0.5078663	0.4518144	0.5588584	0.4649379	0.3464305	0.4549767	0.3314096	0.4080955	0.4056447	0.3243735	0.5374338	0.5315835	0.5189343	0.6393391	0.5069966	0.6854297	0.4476243	0.3291169	0.5264448	0.5853427	0.4059609	0.5409914	0.4294411	0.4363191	0.5032809	0.6402087	0.595383	0.5458139	0.4290458	0.4611432	0.5806783	0.5672385	0.6232113
GI-21-2	0.1151365	0.0228288	0.0223325	0.0119107	0	0	0.1200993	0.2119107	0.0158809	0	0.0133995	0	0	0	0	0	0	0	0.0208437	0.0208437	0.0555831	0.0104218	0	0	0	0.0258065	0	0	0.2397022	0.0109181	0.9404467	0.0456576	0.0039702	0.1771712	0.0124069	0.0054591	0	0.0129032	0	0.02134	0.0258065	0.0203474	0	0.0674938	0.0272953	0	0.271464	0	0.4272953	0.0253102	0.0342432
GI-22	0.0356988	0.0159903	0.0041744	0.007596	0	0.0065239	0	0.0011405	0	0	0	0.0016652	0	0	0	0	0	0.0239513	0.0053377	0.032665	0.1731791	0	0.0005475	0.0005475	0	0	0	0.0176327	0.0431579	0	0.0846507	0	0.0041287	0.0012774	0.0018933	0	0	0.0401925	0	0.0054746	0.0058395	0.0203016	0.0890759	0.1225849	0	0.0016652	0.0050412	0	0	0.0011862	0
GI-23	0	0.0655738	0	0	0.1836066	0	0	0.1300546	0	0.1994535	0	0	0.0213115	0	0.1991803	0	0.6180328	0.4904372	0	0.6833333	0.0912568	0.5199454	0	0.2628415	0.0234973	0.0489071	0.0620219	0	0.0920765	0.1642077	0.0937158	0.2218579	0	0.4180328	0.0349727	0.0103825	0.0314208	0.1978142	0	0	0.5180328	0	0	0.134153	0.1046448	0.0188525	0.334153	0.6797814	0	0.1101093	0.0428962
GI-24	0.0728671	0	0.0574881	0.0849506	0.0801904	0.2588795	0.2943977	0.3020872	0.1347492	0.3321128	0	0.3068473	0.0358843	0.0443061	0.1863786	0	0.1281582	0.0501648	0.3958257	0.178323	0.2592457	0.0966679	0.0897107	0.2325156	0.0303918	0	0.0179421	0.0805566	0.1691688	0.3705602	0	0.2724277	0.0516294	0.3658001	0.1292567	0	0.0190406	0.3365068	0.2629074	0.2793849	0.123398	0.0589528	0.0183083	0.0476016	0.266569	0.306115	0.0754302	0	0	0.2976932	0.3101428
GI-25	0	0	0	0	0	0	0	0.2542373	0.2426405	0.8394291	0	0	0	0	0.7341659	0	0.2265834	0	0	0	0	0	0.4870651	0.1293488	0	0.0954505	0	0	0.1150758	0	0	0	0	0.2854594	0	0	0.1364853	0	0.0945584	0	0	0.1971454	0	0	0.0579839	0	0.2310437	0	0	0.0428189	0
GI-26	0.1098081	0.1119403	0.054371	0.2739872	0.4914712	0.119403	0.3667378	0.3901919	0.4712153	0.2302772	0.098081	0.1279318	0	0	0.1705757	0.0852878	0.1034115	0.303838	0.0565032	0.7121535	0.1791045	0.5703624	0.1076759	0.2942431	0.04371	0.2729211	0.3656716	0.2878465	0.1918977	0.2942431	0	0.1982942	0.1215352	0.2547974	0.1577825	0	0.1396589	0.1140725	0.1407249	0.130064	0.0692964	0.1353945	0.130064	0.7867804	0.4989339	0.3304904	0.1855011	0.4584222	0.0490405	0.1428571	0.1865672
GI-27	0.1806283	0.5340314	0.2159686	0.6793194	0.289267	0.0811518	0.421466	1	0.356021	0.4581152	0.0484293	0.539267	0.2264398	0.2251309	0.1649215	0.2133508	0.1897906	0.2198953	0.2709424	0.0863874	0.2382199	0.5248691	0.0719895	0.1295812	0.6596859	0.3704188	0.197644	0.289267	0.0301047	0.5981675	0.2081152	0.6662304	0.4554974	0.8952879	0.3442408	0.2774869	0.8049738	0.684555	0.1505236	0.6034032	0.4450262	0.2002618	0.3599477	0.5091623	0.2198953	0.408377	0.4005236	0.3232984	0.7277487	0.4162304	0.4685864
GI-28	0.175	0.2502252	0.2626126	0.0632883	0.3281532	0.5051802	0.2763514	0.8400901	0.4993243	0.5567567	0.4065315	0.5774775	0.3488739	0.2015766	0.1786036	0.2538288	0.3123874	0.25	0.7637388	0.1740991	0.3218468	0.3849099	0.2216216	0.3110361	0.0675676	0.3664414	0.2135135	0.1315315	0.284009	0.5166667	0.3650901	0.4876126	0.3772523	0.5542793	0.3472973	0.0689189	0.3164414	0.3042793	0.2407658	0.3128378	0.2083333	0.2461712	0.1076577	0.3416667	0.2511261	0.5	0.0759009	0.2074324	0.4123874	0.586937	0.5738739
GI-29	0.0908587	0.1357341	0.1024931	0	0.1047091	0	0.8587258	0	0.1207756	0.0382271	0.034349	0	0.1451524	0.3822715	0.0781163	0.5318559	0.2509695	0	0.0842105	0	0	0	0	0	0.1019391	0	0.7180055	0.4398892	0	0	0	0.6891966	0.2808864	0.5628809	0.0565097	0.367867	0.0465374	0.3202216	0.5529086	0	0.0243767	0	0	0	0.4792244	0.598892	0.2254848	0	0.4083102	0	0.0592798
GI-2-	0.6869193	0.9409142	0.0440357	0.9153661	0	0.5116128	0.0873281	0.0615013	0.627369	0.9436083	0.2883686	0.1225381	0.5955035	0.3674285	0.0450576	0.71479	0.5280565	0.3927908	0.0044593	0.6270903	0.3844296	0.1436269	0.3124303	0.7845597	0.5916945	0.0202527	0.2813081	0.1151988	0.0286139	0.4953549	0.017094	0.2936641	0.6179859	0.2518581	0.218599	0.055091	0.7656076	0.0362319	0.116964	0.0069677	0	0.166388	0.0181159	0.2635637	0.3537718	0.8132665	0.4750093	0.6569119	0.9388703	0.15301	0.9716648
GI-30	0.5545381	0.570004	0.0181115	0.3935694	0.0500611	0.1237281	0.3066748	0.1109076	0.1196581	0	0.1190476	0	0.3732194	0.1817257	0.1054131	0.1149776	0.1231176	0.1807082	0.3119658	0.3715914	0.2356532	0.2828653	0.1485551	0.1886447	0.2867318	0.1516076	0.1902727	0.0982906	0.2175417	0.0555556	0.2702483	0.539072	0.4373219	0.4401709	0.4006919	0.2818478	0.6355311	0.457672	0.4352869	0.4782255	0	0.3093203	0.2531542	0.3540904	0.3160358	0.6556777	0.4157509	0	0.1621897	0.48779	0.2905983
GI-31	0	0.6888889	0.2993464	0.475817	0.7084967	0.3503268	0.1372549	0.3058824	0.6601307	0.3947712	0.8522876	0.172549	0.2457516	0.4640523	0.3437909	0.4392157	0.248366	0.3150327	0.6104575	0.3437909	0.6562092	0.8444445	0.0875817	0.3058824	0.475817	0.7215686	0.9647059	0.6169935	0.8470588	0.4901961	0	0.8745098	0.3124183	0.3830065	0.1372549	0	0.4222222	0.330719	0.2457516	0.4535948	0	0.7346405	0.4379085	0.7633987	0.5673203	0.7124183	0.4954248	0	0.3137255	0.6614379	0.675817
GI-32	0.4112834	0.4862188	0.6606374	0.9750215	0.5111973	0.3281654	0.0077519	0.4969853	0.5770887	0.001292	0.4995693	0.0796727	0.0322997	0	0.1627907	0.75323	0	0.1343669	0.534453	0.8023256	0.5598622	0.9289406	0.3768303	0.3561585	0.1567614	0.494832	0.8156762	0.8126615	0.5602928	0.6778639	0.6851852	0.8423772	0.5727821	0.7308355	0.2850991	0.6658053	0.7988803	0.1119724	0.8858743	0.9018088	0	0.5348837	0.5387597	0.7540913	0.0374677	0.707149	0.6571921	0	0.5301464	0.7131783	0.1744186
GI-33	0.2325294	0.5064935	0.1456401	0.2600495	0.3395176	0.4573284	0.4183674	0.5643166	0.5841064	0.7043908	0.4353741	0.414966	0.3478664	0.2959184	0.2350031	0.4044527	0.4975263	0.4984539	0.5306122	0.4474335	0.2952999	0.3382808	0.3778602	0.5371057	0.3413729	0.419295	0.3423006	0.4353741	0.4143476	0.6079159	0.1938775	0.5528757	0.3883735	0.5170068	0.2365492	0.2906617	0.4390847	0.5003092	0.3416821	0.2711812	0.3927025	0.3552876	0.3614719	0.5383426	0.5272109	0.3478664	0.2591218	0.2179963	0.3200371	0.240569	0.373222
GI-35	0.3956629	0.7021115	0.400038	0.7283622	0.5341449	0.482024	0.6201255	0.6979266	0.6821381	0.6874644	0.5214	0.6420012	0.2653605	0.5271067	0.516264	0.7186608	0.2602245	0.5664828	0.5442268	0.6111851	0.6060491	0.6973559	0.5562108	0.5870268	0.5369983	0.4110709	0.6330607	0.6258322	0.6509416	0.6857523	0.015408	0.6492296	0.1304927	0.4930569	0.105954	0	0.2326422	0.1483736	0.1192695	0.4656648	0.1249762	0.4812631	0.5238729	0.6684421	0.6420012	0.6140384	0.4318052	0	0.0684801	0.4137341	0.4291421
GI-36	0.2868797	0.2615756	0.3418687	0.399577	0.1126218	0.0642042	0.1595287	0.1160964	0.1615681	0.6702168	0.0725886	0.0695672	0.052723	0.0038523	0.2392175	0.0882242	0.3042526	0.2148954	0.2346099	0.011028	0.2407282	0.2978322	0.1759952	0.2874084	0.221618	0.0719088	0.3777476	0.2255457	0.1841529	0.3778231	0.2792507	0.4386283	0.461062	0.3188307	0.1417025	0.0275701	0.2032631	0.4408943	0.4066772	0.3317471	0.2759272	0.3752549	0.2883148	0.530176	0.2772868	0.3306896	0.0320266	0.2591586	0.3444369	0.0503059	0.4776796
GI-37	0.3603967	0.9073443	0.602727	0.0480322	0.4304307	0.3520297	0.5754571	0.1450263	0.1385188	0.5633715	0.4034707	0.6901147	0	0.089247	0.1332507	0.9082739	0.4933375	0.7062287	0.2228076	0.6975519	0.5017044	0.9739696	0.2686706	0.5599628	0.589092	0.6182213	0.1220948	0.6984816	0.6736907	0.4713356	0.6981717	0.3619461	0.5655407	0.8004338	0.3765107	0.5519058	0.132321	0.6123334	0.5739077	0.5264952	0.6879455	0.3585373	0.1224047	0.2547258	0.0582584	0.5670902	0.1403781	0.5788658	0.5302138	0.4372482	0.9575457
GI-38	0	0.2226891	0	0.1985294	0.0283613	0	0.1622899	0	0.042542	0	0.2053571	0.0089286	0.1418067	0.0766807	0	0.0183824	0.0982143	0.042542	0	0.0362395	0.0493697	0	0	0	0.0667017	0.1943277	0.0120798	0.0709034	0.0688025	0.115021	0.0709034	0.085084	0.0441176	0.2415966	0.0367647	0	0.144958	0.1927521	0.0388655	0.1365546	0.2521009	0.1292017	0.0257353	0.0735294	0.1286765	0.0688025	0.1691176	0.1339286	0.0336134	0.1801471	0.289916
GI-39	0.1670588	0	0	0	0	0.1864706	0	0.1135294	0	0.25	0.1582353	0.1270588	0	0.0605882	0.1864706	0	0	0	0.2470588	0	0.7694117	0	0	0	0	0	0.3435294	0.0535294	0.2164706	0	0.6011765	0.4641176	0.1482353	0.2723529	0	0	0	0.3358824	0.0876471	0.4164706	0.0205882	0.0488235	0.0323529	0.2464706	0.0752941	0.3870588	0	0	0.1094118	0.6482353	0.1682353
GI-40	0.2014448	0.3912198	0	0	0.0928036	0.4001111	0.0130592	0.0377883	0.1931092	0.0086135	0.5443178	0.0247291	0.6396221	0.3359267	0.0119478	0.726035	0.0411225	0.0811336	0.1200333	0.0258405	0.0252848	0.0141706	0.2453459	0.1505974	0.0358433	0.1850514	0.0566824	0.0141706	0.6154487	0.030564	0.0408447	0.8363434	0.0505696	0.2736871	0.0550153	0	0.4698527	0.4353987	0.0408447	0.0655738	0.0433454	0.0258405	0	0.0169492	0.3312031	0.1025285	0.0269519	0.5081967	0.0444568	0.1822729	0.2247847
GI-41	0.5909532	0.2295638	0.0087237	0	0	0.0424879	0.9171244	0.0463651	0.1558966	0	0.3069467	0.0788368	0.4949919	0.2487884	0.1224556	0.7497576	0.0294023	0	0.1609047	0	0.0659128	0	0.3389338	0.0605816	0.0103393	0.0702746	0.0392569	0.0936995	0.012601	0.0117932	0.2400646	0.2531503	0.1137318	0.7533118	0.0641357	0.1180937	0.8812601	0.4861066	0.7980614	0	0.0161551	0.114378	0.1121163	0.0896607	0	0.4287561	0	0	0	0.0295638	0.1844911
GI-42	0.5331612	0.1715647	0.2934869	0.053614	0	0.5001985	0	0	0.1826847	0	0.3399523	0.0220413	0.5542097	0.3556394	0.0917395	0.765687	0	0.4336775	0.0391183	0.761517	0	0	0.4074662	0.0708896	0.0272041	0	0.8564337	0	0.0434869	0	0.0440826	0.8081811	0.4350675	0.6761318	0.7412629	0.6461477	0.8238682	0.5887609	0.6721604	0.4459889	0	0.052224	0.0329627	0.049444	0.24166	0.7998412	0.7160445	0	0.9356632	0.1098094	0.9124305
GI-43	0.67963	0.6934114	0.7402303	0.4140079	0.8270719	0.5988295	0.18973	0.6356428	0.8889938	0.4238248	0.7364546	0.2165377	0.0481405	0.0311497	0.5780631	0.9282613	0.0775911	0.8400981	0.0203889	0.7806305	0	0.0345479	0.524259	0.0177459	0.5980744	0.84293	0.9950916	0.383047	0.9537474	0.1072305	0	0.953181	0.0109496	0.9382669	0.0050972	0.807627	0.8910704	0.1038324	0.8842741	0.8995658	0	0.0713611	0.1094959	0.2135171	0.5510666	0.8797433	0.0277516	0.0179347	0	0	0.0058524
GI-44	0	0	0	0	0	0.2408163	0	0.2816327	0.1571429	0	0	0	0	0	0	0	0	0	0	0.0846939	0	0.4877551	0	0	0.2602041	0	0	0	0	0	0	0	0	0	0.2	0	0.0581633	0.0857143	0.0520408	0.0408163	0	0.5836735	0	0	0	0	0.0765306	0.1071429	0	0	0.0704082
GI-45	0	0.0426803	0	0.108408	0	0	0.1621852	0.0853606	0.1724285	0.0994452	0.0209134	0	0.0409731	0.0431071	0.5040546	0	0.5266752	0.7110542	0.3585147	0.8100725	0	0.0576184	0.1131029	0.1971831	0.0290226	0.1873666	0.0315834	0.0725565	0.0678617	0.1506615	0.2880922	0.1113956	0.1566368	0.9795135	0.258216	0.030303	0.3239437	0.7682458	0	0.7434912	0.0486556	0.3397354	0.0371319	0.4063167	0.7690995	0.0396927	0.023901	0.0836534	0	0	0
GI-46	0.4416622	0.1955248	0.5402238	0.1086841	0.6164092	0.1624933	0.3052744	0.7932872	0.9930741	0.1651572	0.5594033	0.0596697	0.2434736	0.1092168	0.5316995	0.4144912	0.3585509	0.7948855	0.1076185	0.7948855	0.4842834	0.6307938	0.5007991	0.4224827	0.3239211	0.6579648	0.97496	0.5029302	0.6579648	0.0772509	0.1124134	0.3271177	0.1294619	0.1848695	0.2370805	0.0596697	0.3510922	0.2631859	0.0330314	0.6835375	0	0.555674	0.646244	0.3729355	0.7053809	0.2141715	0	0.14065	0.1006926	0.5993607	0.532765
GI-47	0	0.2226891	0	0.1985294	0.0283613	0	0.1622899	0	0.042542	0	0.2053571	0.0089286	0.1418067	0.0766807	0	0.0183824	0.0982143	0.042542	0	0.0362395	0.0493697	0	0	0	0.0667017	0.1943277	0.0120798	0.0709034	0.0688025	0.115021	0.0709034	0.085084	0.0441176	0.2415966	0.0367647	0	0.144958	0.1927521	0.0388655	0.1365546	0.2521009	0.1292017	0.0257353	0.0735294	0.1286765	0.0688025	0.1691176	0.1339286	0.0336134	0.1801471	0.289916
GI-48	0.1652676	0.2688877	0.0569255	0.1051941	0.1634313	0.3593914	0	0.590766	0.067681	0.6833683	0.0343652	0.0291186	0	0	0.1227702	0	0.2843652	0.0529906	0.0577125	0.0868311	0.3449633	0	0.0191501	0.0519412	0.2869885	0	0.1198846	0.2423925	0.3166317	0.7353095	0.6403463	0.3342078	0.0548269	0.0081322	0.0327912	0	0.0301679	0.6311647	0.0910283	0.618573	0.4551417	0.0081322	0.09234	0.2434418	0.0870934	0	0	0	0.1217209	0	0.1358867
GI-49	0.5718954	0.7189543	0.8954248	0.9869281	0.4117647	0.8888889	0.872549	0.7581699	0.8888889	0.9803922	0.7647059	0.8660131	0.4313726	0.8006536	0.8594771	0.8366013	0.2973856	0.6732026	0.5196078	0.7091503	0.875817	0.6307189	0.5228758	0.9150327	0.872549	0.3137255	1	0.6307189	0.3888889	0.9640523	0.875817	0.8660131	0.7222222	0.9575163	0.748366	0.5196078	0.8398693	0.509804	0.9379085	0.5849673	0.5947713	0.6862745	0.5751634	0.624183	0.7287582	1	0.4444444	0.4379085	0.9934641	0.9281046	1
GI-4-	0.6501704	0.7362126	0.4710555	0.6426832	0.5186876	0.5210616	0.7178902	0.5621195	0.6324263	0.4329194	0.5175615	0.4706294	0.6083516	0.4947042	0.5166789	0.7109508	0.4196798	0.5294315	0.593712	0.619765	0.5153397	0.7316472	0.4705381	0.5631544	0.493852	0.4619248	0.7550828	0.5088568	0.5835159	0.4978695	0.357895	0.7041636	0.4853604	0.7933406	0.6853543	0.4241539	0.7622656	0.5761809	0.6524227	0.5641892	0.3406379	0.4865474	0.4865778	0.6006209	0.5379535	0.7503348	0.6879413	0.2314341	0.2846056	0.5872291	0.4853908
GI-50	0.1911765	0.5857843	0.0498366	0.5506536	0.3496732	0.120098	0.2410131	0.3014706	0.5882353	0.2132353	0.7058824	0.0138889	0.0212418	0.2598039	0.3276144	0.3937908	0.1339869	0.2883987	0.5441176	0.4174837	0.4673203	0.502451	0.1903595	0.1045752	0	0.5204248	0.2982026	0.2295752	0.4575163	0.1993464	0.0939543	0.5980392	0.4771242	0.6495098	0.625	0.2867647	0.5857843	0.4714052	0.2622549	0.6413399	0.4158497	0.3619281	0.3668301	0.5906863	0.4910131	0.6192811	0.2818627	0.1388889	0.4501634	0.8153595	0.865196
